 Nb  C   O  
   4   3   2
Direct
  0.3333333333333347  0.6666666666666667  0.4461780603707826
  0.6666666666666677  0.3333333333333334  0.5538117526511748
 -0.0000000000000000  0.0000000000000000  0.3445399516408764
 -0.0000000000000000 -0.0000000000000000  0.6554524497334051
  0.0000000000000000  0.0000000000000000  0.4999946817255839
  0.6666666666666677  0.3333333333333334  0.3947847214324097
  0.3333333333333347  0.6666666666666667  0.6052058565248225
  0.6666666666666677  0.3333333333333334  0.6980577350585947
  0.3333333333333347  0.6666666666666667  0.3019354727108467
