 Ti  Zr  Te 
   2   2   8
Direct
  0.0008102010165793  0.0018414582489131  0.4997848678440781
  0.5010037996712566  0.0020866583789670  0.5000826617681779
  0.2508129718831915  0.4982780600659577  0.5000063315941251
  0.7508504985183897  0.4982565195841939  0.5000269906456660
  0.0008043017448811  0.3250113824741971  0.4007637096915319
  0.2509265354223467  0.8446703070054883  0.5958306406165305
  0.0007612015302159  0.3247152878471801  0.5991215131093228
  0.2510445655423096  0.8445373756123357  0.4040696418139914
  0.5008533740423552  0.3251806569772621  0.4008299627590314
  0.7510371237159053  0.8445187398360869  0.5958991244452518
  0.5008018577972962  0.3251972216531865  0.5992362903084681
  0.7506419369916599  0.8445075740093442  0.4040476573938260
