 Zr  C   O  
   4   3   2
Direct
  0.3333333333333341  0.6666666666666667  0.4454027399252785
  0.6666666666666670  0.3333333333333334  0.5545545552857356
 -0.0000000000000000  0.0000000000000000  0.3350226727694106
 -0.0000000000000000  0.0000000000000000  0.6649562445446345
 -0.0000000000000000 -0.0000000000000000  0.4999849872931235
  0.6666666666666670  0.3333333333333334  0.3909177707679105
  0.3333333333333341  0.6666666666666667  0.6090579215383541
  0.6666666666666670  0.3333333333333334  0.7016072344401088
  0.3333333333333341  0.6666666666666667  0.2983792839215760
