 W   N   F  
   2   1   2
Direct
  0.3333333333333328  0.6666666666666667  0.4297179952788088
  0.6666666666666675  0.3333333333333337  0.5702821961890588
  0.0000000000000005  0.0000000000000005  0.4999999164757319
  0.3333333333333329  0.6666666666666670  0.6447841392348960
  0.6666666666666673  0.3333333333333335  0.3552157116151634
