 Mo  W   Te 
   2   2   8
Direct
  0.0007936923353233  0.0002386404217713  0.5000003058872190
  0.5009721612703005  0.0003681237605261  0.5000054694068159
  0.2508698677855533  0.5013547663647618  0.4999998437634048
  0.7506951351583440  0.5015179368528866  0.5000003133442609
  0.0007529122331789  0.3335747057783296  0.4029609662938990
  0.2508847942214206  0.8347024561833861  0.5970724606560256
  0.0007481166789525  0.3336154341618792  0.5970688787182622
  0.2508915884891459  0.8346950654355326  0.4029117110440265
  0.5008179671042402  0.3335596041134689  0.4028984866602237
  0.7509121609387297  0.8346839971771798  0.5971337460979027
  0.5008085940619884  0.3336164547733004  0.5971132558594650
  0.7508531227628999  0.8347385122115986  0.4028662539020973
