 Zr  N   F  
   4   3   2
Direct
  0.3333333333333348  0.6666666666666669  0.4465281514099522
  0.6666666666666677  0.3333333333333337  0.5533224045985113
  0.0000000000000003  0.0000000000000003  0.3491470440184866
  0.0000000000000006  0.0000000000000006  0.6506781585805524
  0.0000000000000005  0.0000000000000005  0.4999244104984595
  0.6666666666666675  0.3333333333333336  0.3951229767892325
  0.3333333333333349  0.6666666666666670  0.6047275125525311
  0.6666666666666680  0.3333333333333339  0.7038890631791810
  0.3333333333333347  0.6666666666666669  0.2959150014576450
