 Fe  P   Te 
   2   2   6
Direct
  0.0000028392531620  0.0000094517057793  0.5000102303604973
  0.3333367908489687  0.6666709319476004  0.4999743068365816
  0.6666927658048124  0.3333581224067528  0.4410133982738116
  0.6666469502082567  0.3333220201710207  0.5590485243019907
  0.2839374303898658 -0.0493860766337713  0.4183204504008216
  1.0493859583365217  0.3332921058020504  0.4183049547737206
  0.6666538454381210  0.7160533475736635  0.4183149616856708
  1.0494580101848281  0.7161428273250514  0.5816708836966658
  0.2838776407004645  0.3333682504084036  0.5816864951612135
  0.6667066612739621 -0.0494292740902731  0.5816765556398914
