formula,c_11,c_12,c_13,c_22,c_23,c_33
SrI2,17.77092882313428,7.4088125106916785,0.012599431781093578,18.34386106673834,-0.007155463170183005,10.642554023448826
Ta2Br4,72.12707314181365,12.81652191969486,3.395812077980695e-10,83.41670508660879,5.459363240725997e-10,25.594131955591394
Ta2C,193.89659450776128,108.07835484891707,-0.0045155583071245535,195.54629908197975,-0.0061176913427642594,86.68693552274124
Ta2CO2,311.9823162640808,80.02320642784419,-0.006305131459842788,311.86245398422386,-0.005355943394245102,228.71108649173684
Ta2I2N2,249.05391471954206,19.363227573050487,-7.143392844672044e-10,149.98812677119508,-3.220360425643473e-10,72.65290404507212
Ta2I4,55.96271370610751,14.069462461537931,9.388693294392017e-9,75.02820711208618,1.346727835242703e-8,33.50936699328576
Ta2I6,20.449239193109157,3.797805159592749,-0.0028953645005668025,20.947450672393916,0.00416063892076777,16.158809516180256
Ta2N,197.01756089732433,46.230202025469744,-0.049471617919058325,198.5919745995866,-0.05131240734406839,153.28648657904304
Ta2O2,107.87967002747163,39.99432346988304,-9.229767923080767e-8,67.46645148451373,-1.2882285972121749e-7,39.69067661919563
Ta2P2S6,47.691461570232136,12.1452103550765,10.945022286014579,52.91377707813442,-3.542649947424763,15.965910028402412
Ta2S2,89.28306377421154,84.98158344550316,0.14018364636023836,89.13368266989845,-0.06452057929516213,2.4681259116810708
Ta2S6,181.33826704646305,23.9627758288634,4.984551344320029e-9,177.84188327582834,3.880139260405102e-9,81.32627173624302
Ta2Se2,75.05007813318267,75.69017083291489,0.00716006711283682,75.16993986507472,0.01970998889360195,-0.99049499472881
Ta2Se6,139.05426233672412,17.15795754764994,-1.528265233602211e-8,143.77612672220297,-3.012026323705142e-8,62.796632714226796
Ta2Te2,64.57614419553995,60.71737158889748,-0.0004901155937367297,64.50942647131791,0.0009874156340921644,5.096116384761155
Ta3C2,299.1431431422216,65.85500057804273,-0.07108497391459859,296.9198654429006,-0.06251631151590774,233.08629008204713
Ta3C2O2,399.2094111005239,75.36450563630183,-0.0025170012770546566,400.39565002920347,0.0015186746048408781,329.08821293871193
Ta3N2,326.93565717862646,142.66082971656243,0.03163240488836384,335.62974405162123,-0.03679793883759825,186.1929752507437
Ta4C3,511.75936636367464,144.41690995293806,0.06569850808654096,512.2118105760684,0.06570698036423807,361.8903923433479
Ta4C3O2,589.0313696027555,127.48492339725597,0.042269787966712664,588.3900683566005,0.038512275510979084,451.45262060938563
Ta4O8,171.46410078618902,44.86141106892821,2.554372096817779,165.68185655326897,3.3438719976905076,122.88414361469526
