formula,c_11,c_12,c_13,c_22,c_23,c_33
Ge2N2,83.019139421964,59.352581186463,0.0,83.019139421964,0.0,19.007169737955
Ge2O2,50.184306742014,38.476630112976004,0.0,50.184306742014,0.0,3.0928246602660003
Ge2P2,-240.897968315061,313.938235702899,0.0,-240.897968315061,0.0,-13.761771003858001
Ge2S2,0.22433017801200003,37.61277890505,0.0,0.22433017801200003,0.0,5.168595223266
Ge2Se2,-15.349662005949,57.407326993818,0.0,-15.349662005949,0.0,-0.623723130054
Ge2Te2,4.596435703569,27.294729634860005,0.0,4.596435703569,0.0,2.015187454002
Hf2As2,30.869720894574,33.05104347222,0.0,30.869720894574,0.0,13.642111097244
Hf2Br2,39.76276285809,78.618083326431,-0.0,39.76276285809,0.0,25.58561730582
Hf2Cl2,40.063051542987004,84.40156587762,0.0,40.063051542987004,0.0,29.565512412876
Hf2F2,41.539255066998,85.19899242753,0.0,41.539255066998,0.0,49.151932355814
Hf2I2,45.664417374162,67.467888865941,0.0,45.664417374162,-0.0,20.465738397006
Hf2N2,80.73601223847601,116.755444355088,-0.0,80.73601223847601,0.0,52.332876231927
Hf2O2,106.36117940289901,37.055149779294005,0.0,106.36117940289901,0.0,31.304328467583
Hf2P2,49.198462681797004,33.26062282047901,0.0,49.198462681797004,0.0,20.090189251962002
Hf2S2,-42.367248716172,108.604591400925,0.0,-42.367248716172,0.0,25.503633553407003
Hf2Se2,62.750268574725006,18.744428619702,-0.0,62.750268574725006,0.0,9.419387573619
Hf2Te2,6.303858024717,-16.927927310916,-0.0,6.303858024717,0.0,-6.206113111746
Hg2As2,49.453800830697,10.791196370997001,0.0,49.453800830697,0.0,-3.741181492311
Hg2Br2,17.531094801501002,24.967386701415002,-0.0,17.531094801501002,0.0,4.745211507018
Hg2Cl2,-15.881316445191,60.626075611689004,0.0,-15.881316445191,0.0,3.303010207008
Hg2F2,19.604440570569,10.920408496131,0.0,19.604440570569,-0.0,1.0833501677250001
Hg2I2,21.952724906154,17.88395742756,0.0,21.952724906154,0.0,0.798987970245
Hg2N2,79.559987181456,72.054055934601,0.0,79.559987181456,-0.0,16.621999143162
Hg2O2,73.547784105666,64.642673281443,0.0,73.547784105666,0.0,8.413465484859
Hg2P2,58.295811903735,15.186925267740001,-0.0,58.295811903735,-0.0,3.6340496876790005
Hg2S2,24.912810468294005,6.069314320749001,0.0,24.912810468294005,0.0,4.731195463305
Hg2Se2,29.033821234332002,3.8756840769329997,-0.0,29.033821234332002,0.0,3.629696080392
Hg2Te2,24.700861435056,7.563777277854001,0.0,24.700861435056,0.0,1.462830418083
In2As2,5.61211207701,34.507811905473005,0.0,5.61211207701,0.0,12.417755488443001
In2Br2,-8.647219293834,14.992849904925002,0.0,-8.647219293834,0.0,1.749176537871
In2Cl2,10.013351869053,-2.24146481502,-0.0,10.013351869053,0.0,2.168225016483
In2F2,26.928328576014,16.061485982199,0.0,26.928328576014,0.0,3.239983934427
In2I2,-2.4519810154800004,5.955367375596,0.0,-2.4519810154800004,0.0,1.298532259539
In2N2,66.129347506524,32.405515566429,0.0,66.129347506524,0.0,47.485805010114
In2O2,73.624312071732,44.549673472878,0.0,73.624312071732,-0.0,20.114933171859
In2P2,26.98887494571,23.354457865011,0.0,26.98887494571,0.0,15.715126212594
In2S2,27.65495849097,-7.525035683895,0.0,27.65495849097,-0.0,8.947673305590001
In2Se2,28.915557421194002,-1.266367000638,0.0,28.915557421194002,0.0,8.046733772295
In2Te2,-284.40187592616,310.247313575724,0.0,-284.40187592616,0.0,5.689411568418
Ir2Br2,124.97707557455401,62.623371025617004,0.0,124.97707557455401,0.0,-18.653406998997003
Ir2Cl2,88.810888316103,45.684642359913006,0.0,88.810888316103,-0.0,-5.815372265325
