 Y   N   F  
   4   3   2
Direct
  0.3333333333333339  0.6666666666666666  0.4471625826566893
  0.6666666666666675  0.3333333333333337  0.5528855065664463
  0.0000000000000003  0.0000000000000003  0.3392918470871364
  0.0000000000000006  0.0000000000000006  0.6607257571489478
  0.0000000000000005  0.0000000000000005  0.5000303653192588
  0.6666666666666674  0.3333333333333335  0.3855329726113770
  0.3333333333333342  0.6666666666666670  0.6144779994602951
  0.6666666666666676  0.3333333333333338  0.7088054792334934
  0.3333333333333338  0.6666666666666665  0.2912248394541211
