 Ti  N   O  
   4   3   2
Direct
  0.3333333333333350  0.6666666666666666  0.4497487390876199
  0.6666666666666674  0.3333333333333336  0.5502742856042487
  0.0000000000000003  0.0000000000000003  0.3468518404014813
  0.0000000000000006  0.0000000000000006  0.6531960549165990
  0.0000000000000005  0.0000000000000005  0.5000064825221828
  0.6666666666666673  0.3333333333333335  0.3983175749677654
  0.3333333333333350  0.6666666666666669  0.6017189084649371
  0.6666666666666677  0.3333333333333338  0.6920033244022139
  0.3333333333333348  0.6666666666666665  0.3080573368882633
