 Cd  P   S  
   2   2   6
Direct
  0.0000192622857435 -0.0000041186777783  0.5004382534531144
  0.3333011995202246  0.6666442653991833  0.4997882112672971
  0.6666742574293835  0.3333410403642110  0.4387389863797928
  0.6666734429492905  0.3333560661269515  0.5616597026404418
  0.3538054981100799  0.0210614933582224  0.4072957726225823
  0.9789883512136923  0.3327508146096562  0.4072959507984922
  0.6671999988360096  0.6461404917630595  0.4072993908269455
  0.9793734282520240  0.6459806141820883  0.5929960532815598
  0.3539999239603303  0.3334131700619947  0.5929917146899378
  0.6666647747547032  0.0207167687649871  0.5929839950009413
