 Hf  P   Te 
   2   2   6
Direct
  0.0053566601140302 -0.0157580974652682  0.4988448065880213
  0.3280059654146312  0.6824355837155420  0.5010003880017622
  0.6520668372808139  0.3224946201614103  0.4412449593957328
  0.6812872681225012  0.3442323642449711  0.5586616720281660
  0.2713991487576662 -0.0782548253605997  0.3964537114552018
  1.0157778270969191  0.3322339279016612  0.4108521926500363
  0.6630287691030731  0.6690464129279703  0.4089241480878570
  1.0619249669415360  0.7449303769665798  0.6034556913069481
  0.3175525868723311  0.3344493610861778  0.5890424248786080
  0.6703001590742137 -0.0024100207023096  0.5909771885956018
