 Cr  W   S  
   3   1   8
Direct
  0.0021087600161089  0.0013901696408984  0.4999936484949326
  0.4996133754596957  0.0013749364434811  0.5000201950302037
  0.2508276360224624  0.4994911091721538  0.5000096302862922
  0.7508466216396885  0.5013328625971726  0.5000056207686109
  0.0098919166520162  0.3289514699963130  0.4161325884142973
  0.2508515292112238  0.8319137157952418  0.5806778609232869
  0.0098691867071971  0.3288759746327414  0.5838413348597468
  0.2509233964464026  0.8319016375900234  0.4193232702638782
  0.4917710317914996  0.3288719472382191  0.4161659806565129
  0.7509041894461397  0.8469284288377037  0.5838147454225355
  0.4918291934425995  0.3289365117170397  0.5838674115857028
  0.7508559966307400  0.8469405239750732  0.4162018028719043
