 Zr  P   Se 
   2   2   6
Direct
  0.0109032499739752 -0.0121306801258976  0.5002278786548929
  0.3224314794920664  0.6787679516431129  0.4997618914376104
  0.6603742406389262  0.3337734026841571  0.4392102013139562
  0.6729678598426317  0.3329210802171641  0.5607951535492720
  0.2697566782277610 -0.0849013570728266  0.4056091798146333
  1.0145111269577034  0.3392886580584218  0.4161603907702788
  0.6717239376594460  0.6662219892704808  0.4176946533601015
  1.0636331950392450  0.7515573670018155  0.5943614114247179
  0.3188577264624975  0.3274638702500509  0.5838430559766883
  0.6615417149732304  0.0004364323548659  0.5823174781182476
