 Pd  P   Se 
   2   2   6
Direct
  0.0000018602811785 -0.0000067464124234  0.4999956015719586
  0.3333396508500394  0.6666893362691518  0.5000171587516751
  0.6666326157722859  0.3333189637845009  0.4386014817988537
  0.6667065453819451  0.3333587585524763  0.5614080206591557
  0.3258950425602997 -0.0074680001575029  0.4119139090179428
  1.0073651053102723  0.3332840368264684  0.4118985975922917
  0.6664913659303097  0.6739423893859088  0.4119060827519022
  1.0075292979288686  0.6740841512921660  0.5880876478541258
  0.3260384412548840  0.3335446143211458  0.5881034794215512
  0.6667005398484341 -0.0073484411276489  0.5880965867294420
