 Ti  Hf  Te 
   1   3   8
Direct
  0.0007406450232868 -0.0000361887468928  0.4995079850765209
  0.5007821086413914  0.0020945113500433  0.5000063719155127
  0.2496958638275696  0.5001410115217420  0.4999576622661787
  0.7524469273234317  0.5001259826355897  0.4999526123330941
  0.0010372085257853  0.3246152695774080  0.4023823894740141
  0.2439996848695685  0.8376849706546649  0.5971539351921094
  0.0010088709158385  0.3234249620998008  0.5972395107729247
  0.2443621013154691  0.8382025671817545  0.4025343702730629
  0.5010409662250707  0.3367786578981993  0.4003821502494591
  0.7572090667009432  0.8377495697461347  0.5971682093400219
  0.5010141137382392  0.3362988803761267  0.5996178497505409
  0.7572493399121009  0.8383318393515636  0.4025520267925298
