 Bi  Te  Br 
   1   1   1
Direct
  0.0000000000000002  0.0000000000000003  0.5044709682962306
  0.6666666666666665  0.3333333333333333  0.6058803931740949
  0.6666666666666665  0.3333333333333333  0.3945021447730597
