 Cr  W   S  
   2   2   8
Direct
  0.0008531312180250  0.0011490510627708  0.4999809098408344
  0.5008421982504857  0.0011460294421760  0.5000081143953342
  0.2508256868217250  0.5007472354150069  0.4999948964940708
  0.7508128174516736  0.5007465365510146  0.4999956983974504
  0.0008253926326028  0.3239290237264583  0.4144596990521303
  0.2507994784908533  0.8443568279278884  0.5826755375873370
  0.0008207305760616  0.3238702413499038  0.5855086540757327
  0.2508303612430733  0.8443306651146502  0.4173112631859615
  0.5008251117206111  0.3238823204988866  0.4144759864553026
  0.7508985889981848  0.8443409404493030  0.5826790301402847
  0.5008234520504433  0.3239224413401999  0.5855403009478698
  0.7508533975735476  0.8443410331140039  0.4173214653901013
