 Cr  Mo  S  
   2   2   8
Direct
  0.0008721195622288  0.0024179797495343  0.4999942401711014
  0.5008237471868444  0.0023843213629294  0.5000235356156799
  0.2508219264728193  0.4993672260698037  0.5000166308079479
  0.7508291056511223  0.4993423108155854  0.5000181800603559
  0.0008228920799699  0.3236129490514554  0.4145151494256950
  0.2508140935739762  0.8448372865721059  0.5823871818873979
  0.0008203518762583  0.3234975548710742  0.5854815767710825
  0.2509330736608057  0.8448314507928278  0.4176397769450435
  0.5008344513194602  0.3235239601996132  0.4145332711317301
  0.7509139584020706  0.8448725862410466  0.5823696916942979
  0.5008263313647886  0.3235011792673314  0.5854848505743051
  0.7508285582252620  0.8448202513105142  0.4176562417009819
