 Nb  P   S  
   2   2   6
Direct
 -0.0001004367758888 -0.0002527527546657  0.4999812850261547
  0.3334409726906529  0.6669345620965401  0.5000114726969185
  0.6667351493540826  0.3333525321419786  0.4389009059810157
  0.6666039578433616  0.3333246831211681  0.5611413188973237
  0.3272121328736396 -0.0062077256360732  0.4083300461575095
  1.0064057654950123  0.3333767655776625  0.4083602538193098
  0.6665642643746275  0.6727852691686877  0.4083386185728493
  1.0061890051111928  0.6729381619196044  0.5916664961924853
  0.3268852558602942  0.3333177019772450  0.5916368412225238
  0.6667641106429063 -0.0061686046745729  0.5916595429550205
