 Pd  P   S  
   2   2   6
Direct
 -0.0000087012608414 -0.0000009071180936  0.4999664460805292
  0.3333495346112011  0.6666847218691391  0.5000621979584933
  0.6666100498517463  0.3332964796976642  0.4395299218265826
  0.6667288695769901  0.3333829550095864  0.5604629791029861
  0.3353279747444635  0.0019623690107299  0.4144992007301326
  0.9979066992101596  0.3332846534820634  0.4144731414577025
  0.6664605152630995  0.6644670089877045  0.4144820989204164
  0.9980819061689529  0.6646406487296208  0.5855028070774645
  0.3355098468703966  0.3335436019554764  0.5855292031212774
  0.6667306344615284  0.0021417389273949  0.5855202756293363
