 Sc  C   F  
   4   3   2
Direct
  0.3333333333333345  0.6666666666666669  0.4440161117761476
  0.6666666666666670  0.3333333333333334  0.5559527845998716
 -0.0000000000000000  0.0000000000000000  0.3398633465691092
  0.0000000000000000 -0.0000000000000000  0.6601188989338390
 -0.0000000000000000 -0.0000000000000000  0.4999745220995605
  0.6666666666666670  0.3333333333333334  0.3899516562323311
  0.3333333333333345  0.6666666666666669  0.6100224781099303
  0.6666666666666670  0.3333333333333334  0.7054556697448250
  0.3333333333333345  0.6666666666666669  0.2945357598035537
