 Ti  Hf  Te 
   3   1   8
Direct
  0.0017619463082463  0.0019876440173145  0.4996147421512467
  0.4986878880470211  0.0019668957613750  0.5006224536738851
  0.2502590988528439  0.4991477642232408  0.4999836126851263
  0.7501954675246146  0.5022058417993368  0.4998740841454419
  0.0070984032007824  0.3309731592975168  0.4023430602690648
  0.2498663847240566  0.8320820074277082  0.5949709158910400
  0.0069128568968246  0.3304142694864612  0.5972881918479686
  0.2506669333614471  0.8321980307605448  0.4051589398554548
  0.4933187718643217  0.3301420190966924  0.4027100772352330
  0.7505052107793169  0.8457990029697151  0.5972874534261132
  0.4935926804896996  0.3312422923293709  0.5976569397309351
  0.7499777319631131  0.8462638835834313  0.4027857901035636
