 Mo  W   Te 
   3   1   8
Direct
  0.0013326136288181  0.0005195523437128  0.4999557292961204
  0.5005373949864234  0.0007079021799418  0.5000018281851559
  0.2508595431997334  0.5015110955829765  0.4999859512703397
  0.7506379951613344  0.5005566283724833  0.4999871375932286
  0.0013149894652488  0.3339810381130414  0.4029702942952847
  0.2508812245617633  0.8342521138160912  0.5970088721578866
  0.0013042446534183  0.3338757683370344  0.5969848978201076
  0.2509642497825536  0.8342172122531297  0.4029262598180534
  0.5001644471590992  0.3339026875398512  0.4029218966348103
  0.7509693980745521  0.8345784143390454  0.5970015417003517
  0.5001591263588273  0.3339706564844959  0.5970781033651897
  0.7508749453539472  0.8345931443126371  0.4029503582512553
